"","home","away","HG","AG"
"1","Arsenal","Aston Villa",3,1
"2","Arsenal","Brentford",2,1
"3","Arsenal","Brighton",3,2
"4","Arsenal","Burnley",0,0
"5","Arsenal","Chelsea",0,2
"6","Arsenal","Crystal Palace",2,2
"7","Arsenal","Everton",5,2
"8","Arsenal","Fulham",1,1
"9","Arsenal","Leeds United",6,3
"10","Arsenal","Leicester City",2,0
"11","Arsenal","Liverpool",0,5
"12","Arsenal","Manchester City",1,3
"13","Arsenal","Manchester Utd",3,1
"14","Arsenal","Newcastle Utd",5,0
"15","Arsenal","Norwich City",1,0
"16","Arsenal","Southampton",3,0
"17","Arsenal","Tottenham",5,2
"18","Arsenal","Watford",1,0
"19","Arsenal","West Brom",3,1
"20","Arsenal","West Ham",2,0
"21","Arsenal","Wolves",2,1
"22","Aston Villa","Arsenal",1,1
"23","Aston Villa","Brentford",1,1
"24","Aston Villa","Brighton",2,0
"25","Aston Villa","Burnley",1,1
"26","Aston Villa","Chelsea",3,4
"27","Aston Villa","Crystal Palace",1,1
"28","Aston Villa","Everton",3,0
"29","Aston Villa","Fulham",3,1
"30","Aston Villa","Leeds United",3,3
"31","Aston Villa","Leicester City",3,3
"32","Aston Villa","Liverpool",1,2
"33","Aston Villa","Manchester City",2,4
"34","Aston Villa","Manchester Utd",3,5
"35","Aston Villa","Newcastle Utd",4,0
"36","Aston Villa","Norwich City",2,0
"37","Aston Villa","Southampton",4,0
"38","Aston Villa","Tottenham",0,6
"39","Aston Villa","Watford",0,1
"40","Aston Villa","West Brom",2,2
"41","Aston Villa","West Ham",2,7
"42","Aston Villa","Wolves",2,3
"43","Brentford","Arsenal",2,0
"44","Brentford","Aston Villa",2,1
"45","Brentford","Brighton",0,1
"46","Brentford","Burnley",2,0
"47","Brentford","Chelsea",0,1
"48","Brentford","Crystal Palace",0,0
"49","Brentford","Everton",1,0
"50","Brentford","Leeds United",1,2
"51","Brentford","Leicester City",1,2
"52","Brentford","Liverpool",3,3
"53","Brentford","Manchester City",0,1
"54","Brentford","Manchester Utd",1,3
"55","Brentford","Newcastle Utd",0,2
"56","Brentford","Norwich City",1,2
"57","Brentford","Southampton",3,0
"58","Brentford","Tottenham",0,0
"59","Brentford","Watford",2,1
"60","Brentford","West Ham",2,0
"61","Brentford","Wolves",1,2
"62","Brighton","Arsenal",0,0
"63","Brighton","Aston Villa",0,2
"64","Brighton","Brentford",2,0
"65","Brighton","Burnley",0,3
"66","Brighton","Chelsea",1,1
"67","Brighton","Crystal Palace",2,3
"68","Brighton","Everton",0,2
"69","Brighton","Fulham",0,0
"70","Brighton","Leeds United",2,0
"71","Brighton","Leicester City",3,3
"72","Brighton","Liverpool",0,2
"73","Brighton","Manchester City",4,6
"74","Brighton","Manchester Utd",4,0
"75","Brighton","Newcastle Utd",4,1
"76","Brighton","Norwich City",0,0
"77","Brighton","Southampton",2,2
"78","Brighton","Tottenham",1,2
"79","Brighton","Watford",2,0
"80","Brighton","West Ham",4,2
"81","Brighton","Wolves",3,4
"82","Burnley","Arsenal",1,2
"83","Burnley","Aston Villa",4,5
"84","Burnley","Brentford",3,1
"85","Burnley","Brighton",2,3
"86","Burnley","Chelsea",0,4
"87","Burnley","Crystal Palace",3,3
"88","Burnley","Everton",3,2
"89","Burnley","Fulham",1,1
"90","Burnley","Leeds United",1,5
"91","Burnley","Leicester City",1,3
"92","Burnley","Liverpool",0,4
"93","Burnley","Manchester City",0,4
"94","Burnley","Manchester Utd",1,2
"95","Burnley","Newcastle Utd",2,4
"96","Burnley","Norwich City",0,0
"97","Burnley","Southampton",2,0
"98","Burnley","Tottenham",1,0
"99","Burnley","Watford",0,0
"100","Burnley","West Brom",0,0
"101","Burnley","West Ham",1,2
"102","Burnley","Wolves",1,0
"103","Chelsea","Arsenal",2,5
"104","Chelsea","Aston Villa",3,0
"105","Chelsea","Brentford",1,4
"106","Chelsea","Brighton",1,1
"107","Chelsea","Burnley",3,1
"108","Chelsea","Crystal Palace",3,0
"109","Chelsea","Everton",3,1
"110","Chelsea","Fulham",2,0
"111","Chelsea","Leeds United",3,2
"112","Chelsea","Leicester City",3,2
"113","Chelsea","Liverpool",2,2
"114","Chelsea","Manchester City",1,4
"115","Chelsea","Manchester Utd",1,1
"116","Chelsea","Newcastle Utd",3,0
"117","Chelsea","Norwich City",7,0
"118","Chelsea","Southampton",3,1
"119","Chelsea","Tottenham",2,0
"120","Chelsea","Watford",2,1
"121","Chelsea","West Brom",2,5
"122","Chelsea","West Ham",1,0
"123","Chelsea","Wolves",2,2
"124","Crystal Palace","Arsenal",4,3
"125","Crystal Palace","Aston Villa",4,4
"126","Crystal Palace","Brentford",0,0
"127","Crystal Palace","Brighton",1,1
"128","Crystal Palace","Burnley",1,4
"129","Crystal Palace","Chelsea",1,5
"130","Crystal Palace","Everton",3,1
"131","Crystal Palace","Fulham",0,0
"132","Crystal Palace","Leeds United",0,0
"133","Crystal Palace","Leicester City",2,2
"134","Crystal Palace","Liverpool",1,3
"135","Crystal Palace","Manchester City",0,2
"136","Crystal Palace","Manchester Utd",1,0
"137","Crystal Palace","Newcastle Utd",1,1
"138","Crystal Palace","Norwich City",3,0
"139","Crystal Palace","Sheffield Utd",2,0
"140","Crystal Palace","Southampton",2,2
"141","Crystal Palace","Tottenham",3,0
"142","Crystal Palace","Watford",1,0
"143","Crystal Palace","West Brom",1,0
"144","Crystal Palace","West Ham",4,6
"145","Crystal Palace","Wolves",3,0
"146","Everton","Arsenal",2,1
"147","Everton","Aston Villa",1,3
"148","Everton","Brentford",2,3
"149","Everton","Brighton",2,3
"150","Everton","Burnley",4,3
"151","Everton","Chelsea",1,0
"152","Everton","Crystal Palace",4,3
"153","Everton","Fulham",0,2
"154","Everton","Leeds United",3,0
"155","Everton","Leicester City",2,2
"156","Everton","Liverpool",1,4
"157","Everton","Manchester City",1,4
"158","Everton","Manchester Utd",1,0
"159","Everton","Newcastle Utd",1,2
"160","Everton","Norwich City",2,0
"161","Everton","Sheffield Utd",0,1
"162","Everton","Southampton",4,1
"163","Everton","Tottenham",2,2
"164","Everton","Watford",2,5
"165","Everton","West Ham",0,2
"166","Everton","Wolves",1,1
"167","Fulham","Burnley",0,2
"168","Fulham","Chelsea",0,1
"169","Fulham","Leeds United",1,2
"170","Fulham","Leicester City",0,2
"171","Fulham","Manchester City",0,3
"172","Fulham","Manchester Utd",1,2
"173","Fulham","Newcastle Utd",0,2
"174","Fulham","Sheffield Utd",1,0
"175","Fulham","Tottenham",0,1
"176","Fulham","West Ham",0,0
"177","Fulham","Wolves",0,1
"178","Leeds United","Arsenal",1,4
"179","Leeds United","Aston Villa",0,4
"180","Leeds United","Brentford",2,2
"181","Leeds United","Brighton",1,2
"182","Leeds United","Burnley",3,1
"183","Leeds United","Chelsea",0,3
"184","Leeds United","Crystal Palace",3,0
"185","Leeds United","Everton",3,4
"186","Leeds United","Leicester City",1,1
"187","Leeds United","Liverpool",1,4
"188","Leeds United","Manchester City",0,4
"189","Leeds United","Manchester Utd",2,4
"190","Leeds United","Newcastle Utd",0,1
"191","Leeds United","Norwich City",2,1
"192","Leeds United","Sheffield Utd",2,1
"193","Leeds United","Southampton",4,1
"194","Leeds United","Tottenham",3,5
"195","Leeds United","Watford",1,0
"196","Leeds United","West Brom",3,1
"197","Leeds United","West Ham",1,2
"198","Leeds United","Wolves",1,1
"199","Leicester City","Arsenal",1,5
"200","Leicester City","Aston Villa",0,0
"201","Leicester City","Brentford",2,1
"202","Leicester City","Brighton",1,1
"203","Leicester City","Burnley",2,2
"204","Leicester City","Chelsea",2,3
"205","Leicester City","Crystal Palace",4,2
"206","Leicester City","Everton",1,2
"207","Leicester City","Leeds United",2,3
"208","Leicester City","Liverpool",4,1
"209","Leicester City","Manchester City",0,3
"210","Leicester City","Manchester Utd",4,2
"211","Leicester City","Newcastle Utd",6,4
"212","Leicester City","Norwich City",3,0
"213","Leicester City","Sheffield Utd",5,0
"214","Leicester City","Southampton",6,1
"215","Leicester City","Tottenham",4,7
"216","Leicester City","Watford",4,2
"217","Leicester City","West Brom",3,0
"218","Leicester City","West Ham",2,2
"219","Leicester City","Wolves",1,0
"220","Liverpool","Arsenal",4,0
"221","Liverpool","Aston Villa",3,1
"222","Liverpool","Brentford",3,0
"223","Liverpool","Brighton",2,3
"224","Liverpool","Burnley",2,1
"225","Liverpool","Chelsea",1,2
"226","Liverpool","Crystal Palace",5,0
"227","Liverpool","Everton",2,2
"228","Liverpool","Fulham",0,1
"229","Liverpool","Leeds United",6,0
"230","Liverpool","Leicester City",2,0
"231","Liverpool","Manchester City",3,6
"232","Liverpool","Manchester Utd",4,0
"233","Liverpool","Newcastle Utd",4,2
"234","Liverpool","Norwich City",3,1
"235","Liverpool","Southampton",6,0
"236","Liverpool","Tottenham",1,1
"237","Liverpool","Watford",2,0
"238","Liverpool","West Ham",1,0
"239","Liverpool","Wolves",3,1
"240","Manchester City","Arsenal",5,0
"241","Manchester City","Aston Villa",5,2
"242","Manchester City","Brentford",2,0
"243","Manchester City","Brighton",4,0
"244","Manchester City","Burnley",2,0
"245","Manchester City","Chelsea",2,2
"246","Manchester City","Crystal Palace",4,2
"247","Manchester City","Everton",8,0
"248","Manchester City","Leeds United",8,2
"249","Manchester City","Leicester City",6,3
"250","Manchester City","Liverpool",2,2
"251","Manchester City","Manchester Utd",4,3
"252","Manchester City","Newcastle Utd",5,0
"253","Manchester City","Norwich City",5,0
"254","Manchester City","Sheffield Utd",1,0
"255","Manchester City","Southampton",5,2
"256","Manchester City","Tottenham",5,3
"257","Manchester City","Watford",5,1
"258","Manchester City","West Ham",4,2
"259","Manchester City","Wolves",5,1
"260","Manchester Utd","Arsenal",3,2
"261","Manchester Utd","Aston Villa",2,2
"262","Manchester Utd","Brentford",3,0
"263","Manchester Utd","Brighton",4,1
"264","Manchester Utd","Burnley",6,2
"265","Manchester Utd","Chelsea",1,1
"266","Manchester Utd","Crystal Palace",1,0
"267","Manchester Utd","Everton",4,4
"268","Manchester Utd","Fulham",1,1
"269","Manchester Utd","Leeds United",5,1
"270","Manchester Utd","Leicester City",2,3
"271","Manchester Utd","Liverpool",2,9
"272","Manchester Utd","Manchester City",0,2
"273","Manchester Utd","Newcastle Utd",7,2
"274","Manchester Utd","Norwich City",3,2
"275","Manchester Utd","Sheffield Utd",1,2
"276","Manchester Utd","Southampton",10,1
"277","Manchester Utd","Tottenham",3,2
"278","Manchester Utd","Watford",0,0
"279","Manchester Utd","West Ham",2,0
"280","Manchester Utd","Wolves",0,1
"281","Newcastle Utd","Arsenal",2,2
"282","Newcastle Utd","Aston Villa",2,1
"283","Newcastle Utd","Brentford",3,3
"284","Newcastle Utd","Brighton",2,1
"285","Newcastle Utd","Burnley",1,0
"286","Newcastle Utd","Chelsea",0,3
"287","Newcastle Utd","Crystal Palace",2,2
"288","Newcastle Utd","Everton",3,1
"289","Newcastle Utd","Leeds United",2,3
"290","Newcastle Utd","Leicester City",3,3
"291","Newcastle Utd","Liverpool",0,1
"292","Newcastle Utd","Manchester City",3,8
"293","Newcastle Utd","Manchester Utd",1,1
"294","Newcastle Utd","Norwich City",1,1
"295","Newcastle Utd","Sheffield Utd",1,0
"296","Newcastle Utd","Southampton",5,4
"297","Newcastle Utd","Tottenham",4,5
"298","Newcastle Utd","Watford",1,1
"299","Newcastle Utd","West Ham",5,6
"300","Newcastle Utd","Wolves",2,1
"301","Norwich City","Arsenal",0,5
"302","Norwich City","Aston Villa",0,2
"303","Norwich City","Brentford",1,3
"304","Norwich City","Brighton",0,0
"305","Norwich City","Burnley",2,0
"306","Norwich City","Chelsea",1,3
"307","Norwich City","Crystal Palace",1,1
"308","Norwich City","Everton",2,1
"309","Norwich City","Leeds United",1,2
"310","Norwich City","Leicester City",1,2
"311","Norwich City","Liverpool",0,3
"312","Norwich City","Manchester City",0,4
"313","Norwich City","Manchester Utd",0,1
"314","Norwich City","Newcastle Utd",0,3
"315","Norwich City","Southampton",2,1
"316","Norwich City","Tottenham",0,5
"317","Norwich City","Watford",1,3
"318","Norwich City","West Ham",0,4
"319","Norwich City","Wolves",0,0
"320","Sheffield Utd","Arsenal",0,3
"321","Sheffield Utd","Aston Villa",1,0
"322","Sheffield Utd","Brighton",1,0
"323","Sheffield Utd","Burnley",1,0
"324","Sheffield Utd","Chelsea",1,2
"325","Sheffield Utd","Crystal Palace",0,2
"326","Sheffield Utd","Liverpool",0,2
"327","Sheffield Utd","Newcastle Utd",1,0
"328","Sheffield Utd","Southampton",0,2
"329","Sheffield Utd","Tottenham",1,3
"330","Sheffield Utd","West Brom",2,1
"331","Southampton","Arsenal",2,3
"332","Southampton","Aston Villa",1,1
"333","Southampton","Brentford",4,1
"334","Southampton","Brighton",2,3
"335","Southampton","Burnley",5,4
"336","Southampton","Chelsea",1,7
"337","Southampton","Crystal Palace",4,3
"338","Southampton","Everton",2,0
"339","Southampton","Fulham",3,1
"340","Southampton","Leeds United",1,2
"341","Southampton","Leicester City",3,3
"342","Southampton","Liverpool",2,2
"343","Southampton","Manchester City",1,1
"344","Southampton","Manchester Utd",1,1
"345","Southampton","Newcastle Utd",1,2
"346","Southampton","Norwich City",2,0
"347","Southampton","Tottenham",1,1
"348","Southampton","Watford",1,2
"349","Southampton","West Ham",0,0
"350","Southampton","Wolves",1,3
"351","Tottenham","Arsenal",3,0
"352","Tottenham","Aston Villa",3,3
"353","Tottenham","Brentford",2,0
"354","Tottenham","Brighton",0,1
"355","Tottenham","Burnley",5,0
"356","Tottenham","Chelsea",0,4
"357","Tottenham","Crystal Palace",7,1
"358","Tottenham","Everton",5,0
"359","Tottenham","Fulham",1,1
"360","Tottenham","Leeds United",5,1
"361","Tottenham","Leicester City",3,1
"362","Tottenham","Liverpool",3,5
"363","Tottenham","Manchester City",1,0
"364","Tottenham","Manchester Utd",1,6
"365","Tottenham","Newcastle Utd",5,1
"366","Tottenham","Norwich City",3,0
"367","Tottenham","Sheffield Utd",4,0
"368","Tottenham","Southampton",4,4
"369","Tottenham","Watford",1,0
"370","Tottenham","West Brom",2,0
"371","Tottenham","West Ham",3,1
"372","Tottenham","Wolves",2,2
"373","Watford","Arsenal",2,3
"374","Watford","Aston Villa",3,2
"375","Watford","Brentford",1,2
"376","Watford","Brighton",0,2
"377","Watford","Burnley",1,2
"378","Watford","Chelsea",1,2
"379","Watford","Crystal Palace",1,4
"380","Watford","Everton",0,0
"381","Watford","Leeds United",0,3
"382","Watford","Leicester City",1,5
"383","Watford","Liverpool",0,5
"384","Watford","Manchester City",1,3
"385","Watford","Manchester Utd",4,1
"386","Watford","Newcastle Utd",1,1
"387","Watford","Norwich City",0,3
"388","Watford","Southampton",0,1
"389","Watford","Tottenham",0,1
"390","Watford","West Ham",1,4
"391","Watford","Wolves",0,2
"392","West Brom","Arsenal",0,4
"393","West Brom","Brighton",1,0
"394","West Brom","Everton",0,1
"395","West Brom","Fulham",2,2
"396","West Brom","Liverpool",1,2
"397","West Brom","Manchester City",0,5
"398","West Brom","Manchester Utd",1,1
"399","West Brom","Newcastle Utd",0,0
"400","West Brom","Southampton",3,0
"401","West Brom","West Ham",1,3
"402","West Brom","Wolves",1,1
"403","West Ham","Arsenal",4,5
"404","West Ham","Aston Villa",2,1
"405","West Ham","Brentford",1,2
"406","West Ham","Brighton",1,1
"407","West Ham","Burnley",2,1
"408","West Ham","Chelsea",3,3
"409","West Ham","Crystal Palace",2,2
"410","West Ham","Everton",2,2
"411","West Ham","Leeds United",4,3
"412","West Ham","Leicester City",7,3
"413","West Ham","Liverpool",4,5
"414","West Ham","Manchester City",2,2
"415","West Ham","Manchester Utd",1,2
"416","West Ham","Newcastle Utd",1,1
"417","West Ham","Norwich City",2,0
"418","West Ham","Sheffield Utd",3,0
"419","West Ham","Southampton",5,3
"420","West Ham","Tottenham",3,1
"421","West Ham","Watford",1,0
"422","West Ham","West Brom",2,1
"423","West Ham","Wolves",1,0
"424","Wolves","Arsenal",2,2
"425","Wolves","Aston Villa",2,1
"426","Wolves","Brentford",0,2
"427","Wolves","Brighton",2,4
"428","Wolves","Burnley",0,4
"429","Wolves","Chelsea",0,0
"430","Wolves","Crystal Palace",0,2
"431","Wolves","Everton",3,3
"432","Wolves","Leeds United",3,3
"433","Wolves","Leicester City",2,1
"434","Wolves","Liverpool",0,2
"435","Wolves","Manchester City",1,5
"436","Wolves","Manchester Utd",1,3
"437","Wolves","Newcastle Utd",2,1
"438","Wolves","Norwich City",1,1
"439","Wolves","Sheffield Utd",1,0
"440","Wolves","Southampton",3,1
"441","Wolves","Tottenham",0,1
"442","Wolves","Watford",4,0
"443","Wolves","West Brom",2,3
"444","Wolves","West Ham",3,3
