"","home","away","HG","AG"
"1","Arminia","Bayern Munich",0,3
"2","Augsburg","Bayern Munich",2,2
"3","Bayern Munich","Arminia",4,3
"4","Bayern Munich","Augsburg",6,2
"5","Bayern Munich","Bochum",7,0
"6","Bayern Munich","Dortmund",7,3
"7","Bayern Munich","Eint Frankfurt",1,2
"8","Bayern Munich","Freiburg",4,2
"9","Bayern Munich","Greuther Fürth",4,1
"10","Bayern Munich","Hertha BSC",5,0
"11","Bayern Munich","Hoffenheim",8,1
"12","Bayern Munich","Köln",8,3
"13","Bayern Munich","Leverkusen",3,1
"14","Bayern Munich","M'Gladbach",7,2
"15","Bayern Munich","Mainz 05",7,3
"16","Bayern Munich","RB Leipzig",3,2
"17","Bayern Munich","Stuttgart",6,2
"18","Bayern Munich","Union Berlin",5,1
"19","Bayern Munich","Wolfsburg",4,0
"20","Bochum","Bayern Munich",4,2
"21","Dortmund","Bayern Munich",2,3
"22","Eint Frankfurt","Bayern Munich",2,2
"23","Freiburg","Bayern Munich",3,6
"24","Greuther Fürth","Bayern Munich",1,3
"25","Hertha BSC","Bayern Munich",1,5
"26","Hoffenheim","Bayern Munich",1,1
"27","Köln","Bayern Munich",0,4
"28","Leverkusen","Bayern Munich",1,5
"29","M'Gladbach","Bayern Munich",4,3
"30","Mainz 05","Bayern Munich",5,2
"31","RB Leipzig","Bayern Munich",1,5
"32","Schalke 04","Bayern Munich",0,4
"33","Stuttgart","Bayern Munich",0,5
"34","Union Berlin","Bayern Munich",2,5
"35","Werder Bremen","Bayern Munich",1,3
"36","Wolfsburg","Bayern Munich",4,5
