"","home","away","HG","AG"
"1","Arminia","Augsburg",0,1
"2","Arminia","Bayern Munich",0,3
"3","Arminia","Bochum",2,0
"4","Arminia","Dortmund",1,3
"5","Arminia","Eint Frankfurt",2,6
"6","Arminia","Freiburg",1,0
"7","Arminia","Greuther Fürth",2,2
"8","Arminia","Hertha BSC",2,1
"9","Arminia","Hoffenheim",1,1
"10","Arminia","Köln",1,1
"11","Arminia","Leverkusen",0,4
"12","Arminia","M'Gladbach",1,2
"13","Arminia","Mainz 05",1,2
"14","Arminia","RB Leipzig",1,2
"15","Arminia","Schalke 04",1,0
"16","Arminia","Stuttgart",4,1
"17","Arminia","Union Berlin",1,0
"18","Arminia","Werder Bremen",0,2
"19","Arminia","Wolfsburg",2,5
"20","Augsburg","Arminia",1,1
"21","Augsburg","Bayern Munich",2,2
"22","Augsburg","Bochum",2,3
"23","Augsburg","Dortmund",1,1
"24","Augsburg","Eint Frankfurt",1,1
"25","Augsburg","Freiburg",1,2
"26","Augsburg","Greuther Fürth",2,1
"27","Augsburg","Hertha BSC",0,1
"28","Augsburg","Hoffenheim",2,5
"29","Augsburg","Köln",3,7
"30","Augsburg","Leverkusen",2,5
"31","Augsburg","M'Gladbach",4,1
"32","Augsburg","Mainz 05",2,1
"33","Augsburg","RB Leipzig",1,1
"34","Augsburg","Stuttgart",5,5
"35","Augsburg","Union Berlin",4,1
"36","Augsburg","Werder Bremen",2,0
"37","Augsburg","Wolfsburg",3,2
"38","Bayern Munich","Arminia",4,3
"39","Bayern Munich","Augsburg",6,2
"40","Bayern Munich","Bochum",7,0
"41","Bayern Munich","Dortmund",7,3
"42","Bayern Munich","Eint Frankfurt",1,2
"43","Bayern Munich","Freiburg",4,2
"44","Bayern Munich","Greuther Fürth",4,1
"45","Bayern Munich","Hertha BSC",5,0
"46","Bayern Munich","Hoffenheim",8,1
"47","Bayern Munich","Köln",8,3
"48","Bayern Munich","Leverkusen",3,1
"49","Bayern Munich","M'Gladbach",7,2
"50","Bayern Munich","Mainz 05",7,3
"51","Bayern Munich","RB Leipzig",3,2
"52","Bayern Munich","Stuttgart",6,2
"53","Bayern Munich","Union Berlin",5,1
"54","Bayern Munich","Wolfsburg",4,0
"55","Bochum","Arminia",2,1
"56","Bochum","Augsburg",0,2
"57","Bochum","Bayern Munich",4,2
"58","Bochum","Dortmund",1,1
"59","Bochum","Eint Frankfurt",2,0
"60","Bochum","Freiburg",2,1
"61","Bochum","Greuther Fürth",2,1
"62","Bochum","Hertha BSC",1,3
"63","Bochum","Hoffenheim",2,0
"64","Bochum","Köln",2,2
"65","Bochum","Leverkusen",0,0
