"","home","away","HG","AG"
"1","Arsenal","Manchester City",1,3
"2","Aston Villa","Manchester City",2,4
"3","Brentford","Manchester City",0,1
"4","Brighton","Manchester City",4,6
"5","Burnley","Manchester City",0,4
"6","Chelsea","Manchester City",1,4
"7","Crystal Palace","Manchester City",0,2
"8","Everton","Manchester City",1,4
"9","Fulham","Manchester City",0,3
"10","Leeds United","Manchester City",0,4
"11","Leicester City","Manchester City",0,3
"12","Liverpool","Manchester City",3,6
"13","Manchester City","Arsenal",5,0
"14","Manchester City","Aston Villa",5,2
"15","Manchester City","Brentford",2,0
"16","Manchester City","Brighton",4,0
"17","Manchester City","Burnley",2,0
"18","Manchester City","Chelsea",2,2
"19","Manchester City","Crystal Palace",4,2
"20","Manchester City","Everton",8,0
"21","Manchester City","Leeds United",8,2
"22","Manchester City","Leicester City",6,3
"23","Manchester City","Liverpool",2,2
"24","Manchester City","Manchester Utd",4,3
"25","Manchester City","Newcastle Utd",5,0
"26","Manchester City","Norwich City",5,0
"27","Manchester City","Sheffield Utd",1,0
"28","Manchester City","Southampton",5,2
"29","Manchester City","Tottenham",5,3
"30","Manchester City","Watford",5,1
"31","Manchester City","West Ham",4,2
"32","Manchester City","Wolves",5,1
"33","Manchester Utd","Manchester City",0,2
"34","Newcastle Utd","Manchester City",3,8
"35","Norwich City","Manchester City",0,4
"36","Southampton","Manchester City",1,1
"37","Tottenham","Manchester City",1,0
"38","Watford","Manchester City",1,3
"39","West Brom","Manchester City",0,5
"40","West Ham","Manchester City",2,2
"41","Wolves","Manchester City",1,5
