"","home","away","HG","AG"
"1","Alavés","Real Madrid",2,8
"2","Athletic Club","Real Madrid",1,3
"3","Atlético Madrid","Real Madrid",2,1
"4","Barcelona","Real Madrid",1,2
"5","Betis","Real Madrid",0,1
"6","Celta Vigo","Real Madrid",2,5
"7","Cádiz","Real Madrid",1,4
"8","Elche","Real Madrid",1,2
"9","Espanyol","Real Madrid",2,1
"10","Getafe","Real Madrid",1,0
"11","Granada","Real Madrid",2,8
"12","Huesca","Real Madrid",1,2
"13","Levante","Real Madrid",3,3
"14","Mallorca","Real Madrid",0,3
"15","Osasuna","Real Madrid",1,3
"16","Rayo Vallecano","Real Madrid",0,1
"17","Real Madrid","Alavés",3,0
"18","Real Madrid","Athletic Club",1,0
"19","Real Madrid","Atlético Madrid",2,0
"20","Real Madrid","Barcelona",2,5
"21","Real Madrid","Betis",0,0
"22","Real Madrid","Celta Vigo",7,2
"23","Real Madrid","Cádiz",0,0
"24","Real Madrid","Eibar",2,0
"25","Real Madrid","Elche",4,3
"26","Real Madrid","Espanyol",4,0
"27","Real Madrid","Getafe",4,0
"28","Real Madrid","Granada",1,0
"29","Real Madrid","Levante",7,2
"30","Real Madrid","Mallorca",6,1
"31","Real Madrid","Osasuna",2,0
"32","Real Madrid","Rayo Vallecano",2,1
"33","Real Madrid","Real Sociedad",5,2
"34","Real Madrid","Sevilla",4,3
"35","Real Madrid","Valencia",6,1
"36","Real Madrid","Villarreal",2,1
"37","Real Sociedad","Real Madrid",0,2
"38","Sevilla","Real Madrid",2,3
"39","Valencia","Real Madrid",1,2
"40","Valladolid","Real Madrid",0,1
"41","Villarreal","Real Madrid",0,0
