"player","nationality","league"
"Burgui","es ESP","La Liga"
"Raphaël Varane","fr FRA","La Liga"
"Rubén Duarte","es ESP","La Liga"
"Samuel Umtiti","fr FRA","La Liga"
"Manu García","es ESP","La Liga"
"Ibai Gómez","es ESP","La Liga"
"John Guidetti","se SWE","La Liga"
"Munir El Haddadi","es ESP","La Liga"
"Héctor Hernández","es ESP","La Liga"
"Aleksandar Katai","rs SRB","La Liga"
"Mats Hummels","de GER","Bundesliga"
"Kalidou Koulibaly","sn SEN","Serie A"
"Paul Pogba","fr FRA","Premier League"
"Fernando Pacheco","es ESP","La Liga"
"Alfonso Pedraza","es ESP","La Liga"
"Hernán Pérez","py PAR","La Liga"
"Óscar Romero","py PAR","La Liga"
"Christian Santos","ve VEN","La Liga"
"Antonio Sivera","es ESP","La Liga"
"Rubén Sobrino","es ESP","La Liga"
"Carlos Vigaray","es ESP","La Liga"
"Marquinhos","br BRA","Ligue 1"
"Aymeric Laporte","fr FRA","La Liga"
"Sekou Baradji","fr FRA","Ligue 1"
"Mathieu Bodmer","fr FRA","Ligue 1"
"Jean-Christophe Bouet","fr FRA","Ligue 1"
"Emmanuel Bourgaud","fr FRA","Ligue 1"
"Charly Charrier","fr FRA","Ligue 1"
"Issa Cissokho","sn SEN","Ligue 1"
"Quentin Cornette","fr FRA","Ligue 1"
"Gerard Piqué","es ESP","La Liga"
"Jean-Luc Dompé","fr FRA","Ligue 1"
"Toni Kroos","de GER","La Liga"
"Serge Gakpé","tg TOG","Ligue 1"
"Georges Gope-Fenepej","nc NCL","Ligue 1"
"Régis Gurtner","fr FRA","Ligue 1"
"Oualid El Hajjam","ma MAR","Ligue 1"
"Julien Ielsch","fr FRA","Ligue 1"
"Gaël Kakuta","cd COD","Ligue 1"
"Moussa Konaté","sn SEN","Ligue 1"
"Brighton Labeau","fr FRA","Ligue 1"
"Harrison Manzala","cd COD","Ligue 1"
"Stiven Mendoza","co COL","Ligue 1"
"Thomas Monconduit","fr FRA","Ligue 1"
"Nathan","br BRA","Ligue 1"
"Koke","es ESP","La Liga"
"Yoann Andreu","fr FRA","Ligue 1"
"Abdoulaye Bamba","ci CIV","Ligue 1"
"Ludovic Butelle","fr FRA","Ligue 1"
"Pierrick Capelle","fr FRA","Ligue 1"
"Saliou Ciss","sn SEN","Ligue 1"
"Saúl Ñíguez","es ESP","La Liga"
"Enzo Crivelli","fr FRA","Ligue 1"
"Marco Verratti","it ITA","Ligue 1"
"Baptiste Guillaume","be BEL","Ligue 1"
"Wilfried Kanga","fr FRA","Ligue 1"
"Billy Ketkeophomphone","la LAO","Ligue 1"
"Alexandre Letellier","fr FRA","Ligue 1"
"Vincent Manceau","fr FRA","Ligue 1"
