"","player","nationality","position","squad","age","league","goals","Season"
"1","Burgui","es ESP","FW,MF","Alavés",23,"La Liga",1,"201718#"
"2","Raphaël Varane","fr FRA","DF","Real Madrid",24,"La Liga",0,"201718#"
"3","Rubén Duarte","es ESP","DF","Alavés",21,"La Liga",0,"201718#"
"4","Samuel Umtiti","fr FRA","DF","Barcelona",23,"La Liga",1,"201718#"
"5","Manu García","es ESP","MF","Alavés",31,"La Liga",3,"201718#"
"6","Ibai Gómez","es ESP","MF,FW","Alavés",27,"La Liga",7,"201718#"
"7","John Guidetti","se SWE","FW","Alavés",25,"La Liga",3,"201718#"
"8","Munir El Haddadi","es ESP","FW","Alavés",21,"La Liga",10,"201718#"
"9","Héctor Hernández","es ESP","MF","Alavés",26,"La Liga",0,"201718#"
"10","Aleksandar Katai","rs SRB","FW,MF","Alavés",26,"La Liga",0,"201718#"
"11","Mats Hummels","de GER","DF","Bayern Munich",28,"Bundesliga",1,"201718#"
"12","Kalidou Koulibaly","sn SEN","DF","Napoli",26,"Serie A",5,"201718#"
"13","Paul Pogba","fr FRA","MF","Manchester Utd",24,"Premier League",6,"201718#"
"14","Fernando Pacheco","es ESP","GK","Alavés",25,"La Liga",0,"201718#"
"15","Alfonso Pedraza","es ESP","MF,DF","Alavés",21,"La Liga",3,"201718#"
"16","Hernán Pérez","py PAR","MF,FW","Alavés",28,"La Liga",0,"201718#"
"17","Óscar Romero","py PAR","MF,FW","Alavés",25,"La Liga",0,"201718#"
"18","Christian Santos","ve VEN","FW","Alavés",29,"La Liga",2,"201718#"
"19","Antonio Sivera","es ESP","GK","Alavés",20,"La Liga",0,"201718#"
"20","Rubén Sobrino","es ESP","FW,MF","Alavés",25,"La Liga",3,"201718#"
"21","Carlos Vigaray","es ESP","DF,MF","Alavés",22,"La Liga",0,"201718#"
"22","Marquinhos","br BRA","DF","Paris S-G",23,"Ligue 1",0,"201718#"
"23","Aymeric Laporte","fr FRA","DF","Athletic Club",23,"La Liga",0,"201718#"
"24","Sekou Baradji","fr FRA","MF","Amiens",33,"Ligue 1",0,"201718#"
"25","Mathieu Bodmer","fr FRA","DF,MF","Amiens",34,"Ligue 1",1,"201718#"
"26","Jean-Christophe Bouet","fr FRA","GK","Amiens",34,"Ligue 1",0,"201718#"
"27","Emmanuel Bourgaud","fr FRA","MF,FW","Amiens",29,"Ligue 1",0,"201718#"
"28","Charly Charrier","fr FRA","MF","Amiens",31,"Ligue 1",0,"201718#"
